name,popularity,duration_ms,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,valence_tags,arousal_tags,dominance_tags,genre,artists_processed,name_processed,lyrics,BERT_features
wish you were here,51,236933,rednex,0.5,0.415,4,-10.628,0,0.0285,0.204,1.12e-05,0.123,0.179,125.302,6.289999999999999,4.168235294117647,5.36,pop,rednex,wish you were here,wish oh countryman wish wish know stove getting colder miss like hell i'm feeling blue wish oh countryman wish wish know stove getting colder miss like hell i'm feeling blue i've got feelings babe still feel first time laid eyes felt joy livin saw heaven eyes eyes wish oh countryman wish wish wish know stove getting colder miss like hell i'm feeling blue miss laugh miss smile miss everything every second's like minute every minute's like day far away wish stove getting colder baby wish wish battlefield love fear wish i've got feelings babe first time laid eyes wish oh countryman wish wish wish know stove getting colder miss like hell i'm feeling blue,"[[-0.9173392   0.18526743 -0.14902318 ... -0.4085609  -0.05277864
   0.2445726 ]
 [ 0.05751248  0.20442493  0.7375784  ... -0.05829311  0.6534148
   0.80536085]
 [ 0.30547825  0.9101508   2.1808114  ... -0.1400996   0.02842975
   0.2786377 ]
 ...
 [ 0.06907525 -0.24558921  0.7440556  ... -0.18322565  0.069828
   0.01098182]
 [ 0.03014611 -0.2071103   0.3468566  ... -0.02858248  0.06919705
   0.17561446]
 [-0.00876395  0.12977116  0.6903693  ... -0.2024457   0.26770335
   0.02251286]]"
the witch queen of new orleans,44,165093,redbone,0.613,0.817,0,-4.957,1,0.0858,0.0338,1.96e-06,0.083,0.62,119.926,1.3490909090909091,1.2363636363636363,1.0909090909090908,classic rock,redbone,the witch queen of new orleans,marie marie la voodoo veau she'll put spell marie marie la voodoo veau she'll put spell marie marie la voodoo veau witch-queen oh new orleans new orleans i'm gonna tell story strange seems zombie voodoo gris gris witch-queen new orleans lived magic possessed devils skew shack near swamp lands made mud brick marie stirred witches brew marie marie dime nickel anyone could buy voodoo kind potions lotions herb tanna leaves guaranteed blow mind early one mornin mucky swamp dew vanished marie hate eyes tho she'll never return cajuns knew witch-queen never dies,"[[-0.46480447  0.02876509  0.34003565 ... -0.69052446  0.33080283
   0.03122876]
 [-0.01745762  0.38384724  0.59097236 ...  0.12170477  1.6018339
   0.18994491]
 [-0.42837965  0.3612667   1.1369289  ... -0.35266495  0.8959626
   0.07730675]
 ...
 [ 0.11039689  0.08632129  0.15307967 ... -0.03597884 -0.06485131
   0.0593785 ]
 [ 0.03745909  0.1182416   0.20088218 ... -0.14699715 -0.0113733
   0.11931202]
 [-0.05652968  0.08463398  0.27786374 ... -0.15630573 -0.12150688
   0.12472583]]"
hollow eyes,36,219427,red lorry yellow lorry,0.541,0.789,0,-11.187,1,0.0707,5.67e-05,0.917,0.0821,0.83,156.263,1.778,1.4315,1.6135000000000002,post-punk,red lorry yellow lorry,hollow eyes,i've seen look know eyes think thin disguise alone last surprise i'd seen hollow eyes seen seen seen seen empty room empty space can't really hide face i've seen look hate inside i've seen hollow eyes seen seen seen seen place seen hide behind sunken dreams feeling deep inside hid behind hollow eyes seen seen seen seen,"[[ 0.05316615  0.07355302  0.08962301 ... -0.42060658 -0.22330655
   0.2683529 ]
 [ 0.32928354  0.22270529 -0.3323639  ...  0.02564076  0.8388497
  -0.24483788]
 [ 0.6886178   0.20066737 -0.32803908 ... -0.11771687 -0.6627154
  -0.3488205 ]
 ...
 [-0.31076953  0.05922698  0.26697233 ... -0.3075806  -0.2878802
  -0.31768447]
 [-0.24574313  0.05539782  0.2359062  ... -0.27944365 -0.2587113
  -0.25506255]
 [-0.2027233   0.02072212  0.26879817 ... -0.25571314 -0.40060577
  -0.33363798]]"
katy song,46,502867,red house painters,0.514,0.305,1,-14.555,1,0.0254,0.306,0.036,0.0767,0.357,154.552,4.045434782608696,3.688695652173913,4.548521739130434,slowcore,red house painters,katy song,escape door open path seems blackest guess soonest clearing know wearing young aching smile waving hand can't go heart can't feel what's thought come reason glass pavement shoe without life amounts final sleep words cutting mouth ear taut wicked pinches fingers bitter face can't heal know tomorrow somewhere london living someone got kind family turn that's could ever give chance calm hope freedom outlet cold solitary kingdom forest spring stay walked away left bleeding part empty bothered watching water quiet corner numb falling without life amount,"[[-0.12280941 -0.17749497  0.31635645 ... -0.46314934 -0.06502536
   0.28184512]
 [-0.50245035 -0.11669106  0.9331281  ... -0.12168597 -0.56816787
  -0.00406252]
 [-0.32184944 -0.5495674   0.66868985 ... -0.2012924  -0.4402986
   0.01693552]
 ...
 [ 0.25403908 -0.15525644  0.29801604 ... -0.06221252 -0.09202474
   0.21671867]
 [ 0.31730875 -0.08253166  0.2505854  ... -0.02062741 -0.09174736
   0.19162431]
 [ 0.18906875 -0.10668575  0.21189068 ... -0.02122499 -0.13767038
   0.25428152]]"
medicine bottle,41,589440,red house painters,0.338,0.399,10,-15.894,1,0.0299,0.0878,3.05e-06,0.334,0.227,150.912,4.299006211180124,3.904906832298137,4.210434782608696,slowcore,red house painters,medicine bottle,giving love sharing time letting someone misery told step step landed island swam across sea crosses mind may wake knife breath hair ladies underwear tossed alarm clock blood dripping bed neatly written poem heartfelt last line reading mystery going happen love head said morning nightmare building wall said higher us try living life instead hiding bedroom show smile i'll promise leave happened rainy cloud passing dark south went big house slept small bed know well talked sad lives went separately found overseas souvenirs holiday greeting cards long forgotten high school fears head said banging piano i've alone thought since kicking womb drank much tea wrote letters kanji around block walked walked pretending wanting die without hurting never ends like birthdays old friends forget flesh blood bone human turning phone lines airlines unwilling face love found inside outside like medicine bottle cabinet i'll keep like medicine bottle hand hold swallow slowly last lifetime without holding tight want lose thrill gives look window scowl houses world bedroom head read girlfriend's self-help book making war like two sides wall separates two countries shuts world wants love wanting die without,"[[ 0.04497313  0.04605995  0.37677795 ... -0.2916046  -0.04220597
   0.11544336]
 [ 0.4322342  -0.04957077  1.0556608  ...  0.16991602  0.75073934
  -0.7389831 ]
 [ 0.7547365  -0.43125552  0.87415016 ... -0.21810944 -0.09291577
  -0.16470718]
 ...
 [ 0.37461147  0.07279064  0.53311604 ... -0.05371771 -0.09504218
  -0.21429181]
 [ 0.30276388  0.23926091  0.4978061  ...  0.07417057 -0.32459226
   0.01647904]
 [ 0.2933442   0.140456    0.50311273 ...  0.0360549  -0.28417
  -0.08220699]]"
cabron,50,218373,red hot chili peppers,0.547,0.922,11,-3.893,0,0.0738,0.014,0.000117,0.0598,0.366,112.66,7.219487179487181,5.156153846153845,6.1720512820512825,rock,red hot chili peppers,cabron,cabron cabron cabron cabron see park always wearing dark blue dawg anyone crew small strong i'll get want else everyone would take cue anything want else want fight want get along time night's singing songs love cabron cabron cabron cabron come around make peace get barbecue let's keep moon awake electric boogaloo small strong see i'm like knew i'm like world would take cue anything knew they're like want fight want get along time night's singing songs love want fight want get along time night's singing songs love cabron cabron cabron cabron cabron cabron cabron cabron want else cause i'm like knew cabron cabron cabron cabron cabron cabron cabron cabron,"[[-0.28692144  0.01921225  0.261825   ... -0.28425634  0.23447798
   0.06266385]
 [-0.05394183 -0.08940161  1.1609652  ... -0.20809622  0.3327645
  -0.04342442]
 [-1.0398359  -0.6875621   0.1548513  ... -0.00289935  1.11637
  -0.97500956]
 ...
 [ 0.3614155  -0.44324994  0.464361   ...  0.03435457  0.1970309
  -0.383422  ]
 [ 0.49919108 -0.37226266  0.51628    ... -0.03532473 -0.00918799
  -0.54367673]
 [ 0.39772776 -0.22885811  0.610447   ... -0.1016781  -0.14666279
  -0.449461  ]]"
venice queen,52,367027,red hot chili peppers,0.346,0.85,0,-4.669,1,0.0426,0.00451,0.000726,0.109,0.159,130.745,5.096984126984127,3.8547619047619057,4.927619047619048,rock,red hot chili peppers,venice queen,go east west body free body less come start fresh find home moment meantime dropping coming mesh checking get blessed hard leave picturesque find form that's free roam come going come going make make friend paddle around bend find place see mamas papas take chance recommend hard hell comprehend disbelief suspend easy find breeze come going come going want tell tell love venice gets queen best i've ever seen want kiss tell miss venice gets queen best i've ever know said believe god still disagree time leave g-l-o-r-i-a love friend friend friend stylish mess silver hair woman kind rare uniform returns air g-l-o-r-i-a love friend friend friend time go taught know would without glo g-l-o-r-i-a love friend friend friend see standing sea waves made always kiss goodbye leave g-l-o-r-i-a love friend friend friend,"[[-0.3021358  -0.18989544  0.36036286 ... -0.4152207  -0.0930765
   0.27351522]
 [-0.07908654 -0.22549854  0.2867765  ...  0.15124162  0.8752223
   0.3568835 ]
 [-1.0525254  -0.32360375  1.5869018  ... -0.08167487 -0.41328815
   0.02268879]
 ...
 [ 0.30950943 -0.20718579  0.6808967  ... -0.11678261 -0.14377591
  -0.16807932]
 [ 0.42010185 -0.22077763  0.705549   ... -0.10893197 -0.19583215
  -0.04892052]
 [ 0.42580694 -0.06788959  0.8589478  ... -0.11111681 -0.16833624
   0.03366024]]"
i could die for you,55,192827,red hot chili peppers,0.377,0.734,9,-3.645,1,0.0334,0.0985,0.0,0.0942,0.393,169.988,6.919999999999998,3.7847222222222223,6.314166666666667,rock,red hot chili peppers,i could die for you,something inside cards know right want live somebody else's life want give get free smiles time could die oh life choose i'm go-between tell sights eyes seen really want turn motion beauty can't abuse know i'd use senses see everywhere i'd take i'd find way share come along go along wander yo free could die want oh life choose could die want oh life choose come tell want go means alone close door one know come along go along wander yo free could die want oh life choose could die want oh life choose make want say could die want oh life choose could die want oh life choose,"[[-2.9525724e-01 -6.4439073e-02  2.6537251e-01 ... -3.7166214e-01
  -1.9296715e-01  2.8018406e-02]
 [ 8.7950472e-04  1.4860889e-01  6.6247165e-01 ...  5.1672693e-02
   2.6555422e-01  6.6768849e-01]
 [-4.5225587e-02  6.4890668e-02  1.2285138e+00 ... -2.3094974e-01
   6.8167053e-02 -1.2678887e-01]
 ...
 [ 2.5357810e-01 -1.0853136e-01  8.2068300e-01 ... -1.2217093e-01
  -2.1779890e-01 -1.2288110e-01]
 [ 3.5731965e-01 -1.9032764e-01  7.0698154e-01 ... -2.7652058e-01
  -4.4379109e-01 -1.8228550e-01]
 [ 2.8669140e-01 -1.7654291e-01  1.0362800e+00 ... -2.8897011e-01
  -3.4707704e-01 -1.7955764e-01]]"
let it burn,57,297827,red,0.42,0.899,11,-5.446,0,0.0745,0.000431,0.000245,0.23,0.193,132.016,4.2225,3.7925,4.194999999999999,alternative rock,red,let it burn,watch city burn dreams like ashes float away voice never heard silence hearts bleeding crashed never thought deceive long stand pain long hide face long afraid afraid long play game fight walk away long let burn let burn let burn watch city burn passions slowly smoldering lesson never learned violence world broken promise love drop rain burn fire still long stand pain long hide face long afraid afraid long play game fight walk away long let burn let burn let burn wait burns hide burns hurt burns fight burns stand burns love burns end burns let burns long stand pain long hide face long afraid afraid long play game fight walk away long let burn let burn let burn let burn let burn let burn,"[[-0.43226296  0.08961118  0.15956791 ...  0.02502067 -0.05236466
  -0.20189679]
 [ 0.12971568  0.45613185  0.54448324 ...  0.34357488  0.16812904
  -0.6145504 ]
 [-0.48613667 -0.6315377   0.5557518  ...  0.16591845 -0.2680175
  -0.5412296 ]
 ...
 [ 0.321674   -0.2733136   0.5581229  ... -0.04751037 -0.16696541
  -0.38338843]
 [ 0.429008   -0.32465166  0.5972738  ... -0.06337629 -0.04653577
  -0.37092265]
 [ 0.41052368 -0.32848933  0.57429534 ... -0.08823    -0.06584623
  -0.3301235 ]]"
wicked twisted road,56,205760,reckless kelly,0.411,0.383,9,-10.256,1,0.0307,0.674,0.00537,0.0776,0.446,84.97,4.375,3.5400000000000005,4.977499999999999,country,reckless kelly,wicked twisted road,first love wicked twisted road hit million mile mark seventeen years old never saw rainbow much less pot gold yeah first love wicked twisted road first love castle sky never thought i'd make till guts try sat tower whole world passed yeah first love castle sky first love fearless driving rain scared death thought i'd never see face say god crying guess felt pain first love fearless driving rain first love wild sinful night ran big dogs guess bark bite know battle end lost fight yeah first love wild sinful night first love angry painful song wanted one bad went everything wrong lesson reality would come long yeah first love angry painful song first love wicked twisted road hit million mile mark seventeen years old never saw rainbow much less pot gold yeah first love wicked twisted road first love wicked twisted road,"[[-6.3789719e-01 -4.3745436e-02  1.3468336e-01 ... -4.1275638e-01
  -4.4763595e-02 -4.7900457e-02]
 [-1.2188760e+00 -4.8422614e-01 -3.3158329e-01 ...  8.0419987e-02
   1.1719409e+00 -5.4514199e-01]
 [ 5.9582132e-01  5.9900147e-01  1.1002890e+00 ... -5.0636780e-01
  -2.8532729e-01 -5.1397473e-01]
 ...
 [-1.0361280e-01 -3.9168161e-01  3.5224470e-01 ... -2.6927693e-02
  -1.2744108e-01  1.5718818e-02]
 [-3.4669798e-02 -3.8680160e-01  5.1526183e-01 ... -1.4365972e-02
  -9.8086096e-02  1.1092978e-01]
 [-3.6758068e-04 -3.2978940e-01  4.9677551e-01 ... -5.9688222e-02
  -1.8277520e-01 -5.3541504e-02]]"
empty,48,317280,ray lamontagne,0.482,0.381,2,-13.93,1,0.0311,0.455,0.00295,0.114,0.42,81.712,5.690416666666668,3.509791666666666,5.752291666666665,singer-songwriter,ray lamontagne,empty,lifts skirt knees walks garden rows bare feet laughing never learned count blessings choose instead dwell disasters walk hill grass grown tall brown still hard somehow let go pain past busted back old rusted cadillac sinks field collecting rain always feel way empty estranged cut throat busted sunsets cold damp white mornings grown weary cracked dusty dime store lips spoke words loud would one hear lay blouse across chair let fall flowers hair kiss country mouth plain outside rain tapping leaves sounds like they're applauding us quiet love we've made always feel way empty estranged well looked demons eyes lay bare chest said best destroy see i've hell back many times must admit kinda bore there's lot things kill man there's lot ways die yes already walk beside there's lot things understand many people lie hurt hide fuels fire inside always feel way empty estranged,"[[ 0.02537295  0.12868452  0.31098247 ... -0.13562135  0.10587151
   0.03690778]
 [ 0.39958975  0.1046106   1.2653837  ... -0.49365553  0.16693537
   0.16351996]
 [ 0.67157924 -0.8490015   0.68306816 ... -0.3616162   0.01676674
  -0.02500689]
 ...
 [ 0.14958641  0.10699889  0.25725126 ...  0.38577586 -0.22169104
   0.32581434]
 [ 0.24274293 -0.00255503  0.9101007  ...  0.15684511  0.25975004
  -0.1507098 ]
 [ 0.16792494  0.12042061  0.54615474 ... -0.11754189  0.07224087
  -0.2572058 ]]"
all the wild horses,43,196453,ray lamontagne,0.355,0.0691,4,-22.157,0,0.0311,0.816,0.303,0.112,0.113,96.111,5.834367816091953,3.351379310344827,6.034252873563219,folk,ray lamontagne,all the wild horses,wild horses wild horses tethered tears eyes may man's touch ever tame may man's reigns ever chain may man's weight ever defrayed soul clouds let roll roll away roll away clouds let roll roll away roll away,"[[-0.13670602  0.14319424  0.2528131  ... -0.21868333  0.04379773
   0.02054004]
 [ 0.49592587  0.41383424  0.4815728  ... -0.3039092   0.16917096
  -0.64473933]
 [ 1.1636299   0.6611308   0.20404558 ... -0.34514633 -0.41889092
  -0.76094025]
 ...
 [ 0.4460193   0.05088167  0.6739747  ...  0.01044625 -0.12641881
  -0.26765445]
 [-0.19221354 -0.16469543  0.04308189 ...  0.10978333  0.05777894
  -0.48740628]
 [ 0.7482483  -0.08157563  0.7309461  ...  0.01598864 -0.05412496
  -0.35436544]]"
just for a thrill,26,205773,ray charles,0.307,0.224,8,-12.616,1,0.0348,0.907,6.99e-05,0.142,0.392,57.994,5.235675675675676,3.768972972972973,5.819513513513514,soul,ray charles,just for a thrill,thrill changed sunshine rain thrill filled heart pain pride joy merely toy plaything could toss around thrill made life one sad song thrill led along although free havin fun still one cause made heart stand still well thrill baby made heart stand still thrill,"[[-0.1764641  -0.43865654  0.20918028 ... -0.4376859  -0.1525925
   0.17981358]
 [-0.30507618 -1.1033492   0.5034307  ... -0.01167115  0.33849958
  -0.28267363]
 [ 0.5808007  -0.23578331  0.95456475 ... -0.5768369   0.01341
  -0.4137837 ]
 ...
 [-0.1150616  -0.65528214  0.1527205  ...  0.31347796  0.13034882
  -0.21187808]
 [ 0.1833956  -0.6650913   0.6360695  ... -0.20058295  0.04142791
  -0.07518181]
 [ 0.09405239 -0.54623705  0.5747781  ... -0.23706359 -0.06264004
  -0.11606201]]"
aloha steve & danno,31,239133,radio birdman,0.351,0.95,2,-2.124,1,0.0703,0.00202,0.105,0.296,0.519,101.944,6.573333333333332,6.1866666666666665,6.166666666666667,garage rock,radio birdman,aloha steve & danno,got get line danno got pick gun get apb chinn going tell government says high priority washington say's tell get fast 50's move steve gotta say thank done nights dark lonely tv there's agent field wanna tailed he's staying hilton staying jail he's working kgb here's dossier feds happy guy gets away steve gotta say thank done nights dark lonely tv talk espionage hands bale white steve one cool guy danno's gonna tell steve danno made scene agent done deed saw stiffthey saw gun said book danno murder one steve gotta say thank done nights dark lonely tv book danno murder one,"[[-0.36162755  0.06594545  0.05810415 ... -0.27625862  0.29575503
  -0.13077581]
 [ 0.1032995  -0.4210992   0.9157854  ... -0.59225017  0.1717414
   0.28538236]
 [-0.46626422 -0.92121947  1.1014532  ... -0.25490153  0.2863303
   0.4993344 ]
 ...
 [ 0.13210997 -0.00993897  0.345514   ... -0.23113841 -0.23521778
  -0.39670646]
 [ 0.38805628 -0.14659967  0.5975555  ... -0.23671812  0.14585888
  -0.41825214]
 [ 0.38920665 -0.05197579  0.34283552 ... -0.12654085 -0.09137441
  -0.27611104]]"
lucky all my life,40,199080,racoon,0.605,0.557,11,-6.863,1,0.0259,0.773,6.37e-06,0.122,0.354,98.188,4.517777777777779,2.6556296296296296,4.2957777777777775,rock,racoon,lucky all my life,calls send stuff letters yeah sweet talk like pretty word don?t make better let fire burn night yeah night front door open left keys guess i?ve lucky life she?s fed easiness won?t get tonight don?t know gave love away shure don?t know took bate maybe balance seem sudden bit hating apologize everything times i?ve done wrong wrong wrong wrong gathered dreams around hope you?ll put em belohohong chorus okay okay okay lovely i?ll always look ways say say say lovely i?ll always look better ways say love anyway ooh love anayway whoa chorus say okay okay okay lovely i?ll always look ways say say say lovely i?ll always look better ways say love anyway oohhhhh love anayway love anyway,"[[-0.5764615  -0.32696855  0.40157783 ... -0.36021313 -0.05975254
   0.1582492 ]
 [ 0.4429587  -0.47234377  0.9427135  ... -0.07022822  0.6954686
  -0.15782364]
 [ 0.05187802 -0.04044338  1.2413425  ... -0.13880512  0.15103349
  -0.04046788]
 ...
 [ 0.00350449 -0.10404253  0.739166   ...  0.01440268 -0.05868264
  -0.09419771]
 [ 0.06392672 -0.14908843  0.5915289  ... -0.01617084 -0.09859411
  -0.09546618]
 [ 0.04480739 -0.1329528   0.6280621  ... -0.0306048  -0.06522425
  -0.09465551]]"
before you leave,36,247227,racoon,0.611,0.465,6,-7.1,1,0.0236,0.329,1.44e-06,0.103,0.194,104.931,4.803333333333334,4.573333333333333,4.883333333333334,rock,racoon,before you leave,leave leave tell hell taken tell get chance take away memories leave leave tell i'm gonna go start walking sooner know get chance take leave cause life's vinegar ice leaving say goodbye believe believe say i'll miss please believe say i'll miss miss leave tell alright there's much say know time lose chance say goodbye leave ask stay anymore leaving shut door believe believe say i'll miss please believe say i'll miss say i'll miss say i'll miss miss,"[[-0.2042614  -0.08685732  0.26504824 ... -0.23377168 -0.24721585
   0.01858015]
 [ 0.6726414   0.19386025  0.30146146 ...  0.22677055  0.3198728
  -0.26874667]
 [ 0.13530956 -0.12609847  1.0613477  ... -0.04749288 -0.57913834
   0.01185696]
 ...
 [ 0.37219962 -0.4508791   0.65081275 ... -0.20268361 -0.01499075
  -0.39643142]
 [ 0.45282865 -0.45886382  0.47066858 ... -0.2146175  -0.20401026
  -0.54241997]
 [ 0.29605117 -0.09559881  0.7614142  ... -0.19729824 -0.29472736
  -0.47223616]]"
duet,44,241120,rachael yamagata,0.459,0.14,9,-15.482,1,0.0367,0.895,0.00565,0.138,0.146,128.904,5.60410909090909,3.810400000000001,5.491309090909091,folk,rachael yamagata,duet,oh lover hold till come back arms growing tired tales wearing thin patient surprise wake i'll come anger settle we'll go things done yes remember said lay bed i'll come back home oh lover i'm lost road i've chosen beckons away oh lover roam i'm fighting words never thought i'd say remember said lay bed i'll forgive oh come back home oh lover i'm old thinking find road return back home we're meant cause remember said lay bed we'll back soon make history,"[[-0.3851789   0.15241744  0.3418291  ... -0.18824436 -0.18282473
   0.11805531]
 [ 0.01692252  1.0820972   1.7746699  ... -0.23532756 -0.05730397
   0.35729077]
 [-0.2726448  -0.9311519   1.5668416  ... -0.25385556 -0.49800152
  -0.28878835]
 ...
 [ 0.08331888  0.03413063  0.5527208  ... -0.24089326 -0.2588629
  -0.14176856]
 [-0.05870622 -0.1799661   0.62782013 ... -0.09714348 -0.23115538
  -0.1891151 ]
 [ 0.21413207 -0.58057296  0.40020412 ... -0.05440413  0.09914947
  -0.55429554]]"
camera,19,351173,r.e.m.,0.41,0.443,2,-8.847,1,0.0341,0.102,0.00184,0.157,0.267,96.684,2.933529411764706,2.6845098039215687,3.613137254901961,rock,r.e.m.,camera,inside room front room greeting becomes special book simple party lulls fall side remembered remembered alone crowd bartered lantern borrowed i'm camera face fell bed want tell keep pages green light room fall side inside room front room greeting becomes special book simple party lulls fall side still like remember,"[[-0.24906094 -0.6741923   0.5973597  ... -0.10043092 -0.06298843
   0.36088222]
 [-0.51457006 -0.20143417  0.9390711  ... -0.19341534  0.13492818
  -0.6017268 ]
 [-0.91516864 -0.22358155  0.8559201  ... -0.7520578  -0.24733391
   0.24497584]
 ...
 [ 0.03786394 -0.17101122  0.5720806  ... -0.08309221 -0.03870514
  -0.14747594]
 [ 0.09930778 -0.13312896  0.58883446 ... -0.05171556 -0.13268182
  -0.01208641]
 [ 0.04629579 -0.11366224  0.6385934  ... -0.08823849 -0.19628991
   0.00269152]]"
daysleeper,50,219600,r.e.m.,0.322,0.394,0,-9.563,1,0.0345,0.172,2.12e-06,0.0869,0.0883,113.973,5.699999999999999,3.4328301886792456,5.543018867924529,rock,r.e.m.,daysleeper,receiving dept a.m staff cuts socked overage directives posted callbacks complaints everywhere calm hong kong present taipei awakes talk circadian rhythm see today newsprint fray night colored headache gray daysleeper bull bear marking territories they're leading blind international glories i'm screen blinding light i'm screen work night see today newsprint fray night colored headache gray wake much daysleeper cried night can't even say fluorescent flat caffeine lights furious balancing i'm screen blinding light i'm screen work night see today wake much ocean machine set nine i'll squeeze heaven valentine bed pulling gravity daysleeper daysleeper daysleeper daysleeper daysleeper,"[[-0.38274115 -0.03773977  0.10341087 ... -0.13300118  0.14905469
   0.20410474]
 [ 0.28187773  0.06920375  0.08167707 ...  0.215395    0.592216
   0.59148   ]
 [ 0.23992829  0.3323764   0.30915728 ... -0.02265628  0.29195228
   0.08092547]
 ...
 [ 0.26979288 -0.08690996  0.39501876 ... -0.260396   -0.21015438
  -0.22819702]
 [-0.50842     0.2036365   0.42067438 ...  0.2708747   0.09720246
  -0.6397981 ]
 [ 0.10850493 -0.40790632  0.31962368 ...  0.00734955  0.1955031
  -0.23695928]]"
at my most beautiful,49,215200,r.e.m.,0.58,0.336,5,-12.515,1,0.0252,0.791,0.883,0.111,0.217,97.795,6.343516483516485,4.086043956043956,5.713406593406591,rock,r.e.m.,at my most beautiful,i've found way make i've found way way make smile read bad poetry machine save messages hear voice always listen carefully awkwards rhymes always say name like know beautiful i've found way make i've found way way make smile beautiful count eyelashes secretly every one whisper love let sleep know closed eye watching listening thought saw smile i've found way make i've found way way make smile,"[[-0.1551809  -0.23656414  0.06668519 ... -0.07715954 -0.17812811
   0.12165934]
 [ 0.5510528  -0.3131732  -0.4378967  ...  0.4908619   1.0410753
   0.29995486]
 [ 0.66901904  0.16774179 -0.18399568 ... -0.07161216 -0.6361555
  -0.17350255]
 ...
 [ 0.3712637  -0.10572841  0.27813166 ... -0.06138577 -0.33549643
   0.01090073]
 [ 0.41776448 -0.09842218  0.252914   ... -0.05852158 -0.3285291
  -0.00550223]
 [ 0.31337273 -0.08243588  0.1651643  ...  0.00861403 -0.31632182
   0.01757757]]"
auctioneer (another engine),23,164427,r.e.m.,0.316,0.863,9,-12.776,1,0.055,0.00804,0.00944,0.152,0.62,163.224,3.15,3.32,3.15,alternative rock,r.e.m.,auctioneer (another engine),want get pinned prior town get train time take nickel make dime take penny make necklace leave end know another friend another wife another morning spent listen listen auctioneer another engine another engine never wrote reasons need explained things givens others get away time call may okay say goodbye long much listen auctioneer another engine another engine listen bargain holler listen barter holler listen auctioneer get train time take nickel make dime take penny make necklace leave end know another friend another wife another morning spent listen auctioneer another engine another engine stand bargain holler listen barter holler listen auctioneer,"[[-0.4689008  -0.00579129  0.06105557 ... -0.36860946 -0.04351693
   0.07505589]
 [ 0.43275332 -0.20535515  1.2452073  ... -0.06018146  1.1978503
  -0.3205916 ]
 [-0.09342209 -0.71665627  0.91504675 ... -0.1439185   0.12472916
   0.7286241 ]
 ...
 [ 0.06816424 -0.41159585  0.34905472 ... -0.38967687  0.14563741
   0.16022332]
 [-0.05301891 -0.15380673  0.5653355  ... -0.22907467  0.21577507
   0.04563931]
 [ 0.13742773 -0.21562673  0.28156537 ... -0.06528972  0.10598899
  -0.08520322]]"
try not to breathe,51,230573,r.e.m.,0.417,0.534,7,-9.517,1,0.0374,0.0886,0.000943,0.0901,0.602,178.63,4.6908,3.512,4.9404,rock,r.e.m.,try not to breathe,try breathe hold head still hands knees eyes eyes old shiver fold try breathe decision mine lived full life eyes want remember oh need something fly grave need something breathe try burden hold inside hold breath shivers subside look eyes try worry seen things never see leave memory shudder breathe want remember oh never see need something fly something fly grave never see need something breathe something breathe baby shiver shiver see things never see need something fly something fly grave see things never see need something breathe oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh try worry seen things never see leave memory dare breathe want remember oh never see need something fly something fly grave never see need something breathe something breathe baby shiver shiver see things never see need something breathe something breathe seen things never see want remember,"[[-0.17460015  0.07390663  0.1934625  ... -0.259543   -0.09770623
   0.00780359]
 [ 0.48206207  0.02061033  0.55461    ... -0.6980491   0.57536995
  -0.78473717]
 [ 1.2873099  -0.39163524  0.39121467 ... -0.8798381  -0.6435029
   0.28105676]
 ...
 [ 0.2597503  -0.06564119  0.6843166  ... -0.10408628 -0.16408288
  -0.254816  ]
 [ 0.23583072 -0.07524182  0.68153393 ... -0.08697452 -0.10817187
  -0.20897134]
 [ 0.25245336 -0.10102338  0.61248183 ... -0.08590867 -0.10452123
  -0.24305908]]"
everybody hurts,76,320267,r.e.m.,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3.531794871794872,3.5141880341880345,4.202051282051282,rock,r.e.m.,everybody hurts,day long night night alone sure enough life well hang let go cause everybody cries everybody hurts sometimes sometimes everything wrong time sing along day night alone hold hold feel like letting go hold think much life well hang cause everybody hurts take comfort friends everybody hurts throw hand oh throw hand feel like alone alone life days nights long think much life hang well everybody hurts sometimes everybody cries everybody hurts sometimes everybody hurts sometimes hold hold hold hold hold hold hold hold everybody hurts alone,"[[ 0.09702533  0.22836499  0.17984109 ... -0.30860904 -0.2928862
   0.17555538]
 [ 0.33070877  0.4966669   0.42185178 ...  0.17083848  0.63139313
  -0.47735044]
 [ 0.7029268  -0.15977298  0.6251143  ... -0.5913563  -0.27600268
   0.49054527]
 ...
 [ 0.11231748 -0.20086336  0.54120374 ... -0.02801293 -0.41167134
   0.08741924]
 [ 0.10862418 -0.26518413  0.5284026  ... -0.00500067 -0.38766265
   0.16671695]
 [-0.04685925 -0.29684404  0.5274393  ...  0.01898976 -0.42604718
   0.11436763]]"
